,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
28973,2016,Azerbaijan,AZE,Denmark,DNK,54,14.0,0.0,-,0.0,-,0.0
28972,2016,Azerbaijan,AZE,Czechia,CZE,31,39.0,0.0,-,0.0,-,0.0
28971,2016,Azerbaijan,AZE,Bulgaria,BGR,0,5.0,0.0,-,0.0,-,0.0
28970,2016,Azerbaijan,AZE,Belarus,BLR,5,0.0,0.0,-,0.0,-,0.0
28969,2016,Azerbaijan,AZE,Belgium,BEL,75,30.0,0.0,-,0.0,-,0.0
28968,2016,Azerbaijan,AZE,Austria,AUT,387,165.0,0.0,-,0.0,-,0.0
28978,2016,Azerbaijan,AZE,Greece,GRC,5,0.0,0.0,-,0.0,-,0.0
28991,2016,Bahrain,BHR,Germany,DEU,58,21.0,0.0,-,0.0,-,0.0
28992,2016,Bahrain,BHR,Italy,ITA,5,0.0,0.0,-,0.0,-,0.0
28993,2016,Bahrain,BHR,Sweden,SWE,15,5.0,0.0,-,0.0,-,0.0
29016,2016,Benin,BEN,Germany,DEU,34,538.0,0.0,-,0.0,-,0.0
29015,2016,Benin,BEN,United Kingdom of Great Britain and Northern Ireland,GBR,9,9.0,0.0,-,0.0,-,0.0
29014,2016,Benin,BEN,France,FRA,27,0.0,0.0,-,0.0,-,0.0
29013,2016,Benin,BEN,Belgium,BEL,30,26.0,0.0,-,0.0,-,0.0
29012,2016,Benin,BEN,Austria,AUT,0,38.0,0.0,-,0.0,-,0.0
29011,2016,Belgium,BEL,Germany,DEU,5,0.0,0.0,-,0.0,-,0.0
29010,2016,Burundi,BDI,Ukraine,UKR,6,7.0,0.0,-,0.0,-,0.0
29009,2016,Burundi,BDI,Switzerland,CHE,64,22.0,0.0,-,0.0,-,0.0
29008,2016,Burundi,BDI,Sweden,SWE,243,76.0,0.0,-,0.0,-,0.0
